,Title,Generation,
0,Latest Headlines on CNN Business,"['1. United Technologies shares fall after company misses earnings estimates  2. Chipotle to sell shares to raise money  3. Goldman Sachs drops insurance investment  4. Sears files for Chapter 11 bankruptcy  5. Tesla shares fall after SEC charges company with securities fraud  1) Trump orders review of existing trade deals  2) Airlines brace for increased fuel prices  3) China announces new tariffs on US goods  4) Sears files for bankruptcy protection  5) Uber reaches a settlement with regulators in California  1. The economy is booming, but some workers are struggling  2. Amazon's robots are stealing jobs  3. Tax hikes could mean less money for businesses  4. Tech companies are retooling their strategies to stay afloat  5. Airlines are struggling with baggage fees  -Amazon is expected to announce a $13.7 billion cash infusion today -IBM is expected to report earnings for the third quarter tomorrow -Apple is expected to report earnings for the third quarter tomorrow  1. Uber Completes Its Acquisition Of Jump biking For $250 Million  2. Yahoo! Reportedly Considering Sale of Its core business  3. Snap Inc. Reports Strong Fourth Quarter Results  4. American Airlines Ditching One Mile Elite Status for A-List Elite Status  5. Tesla Announces Newoni Utility Vehicle  -Apple to unveil new iPhones, watches, HomePod  -Facebook to face more EU scrutiny over data practices  -Netflix now available in India:  1) Walmart announces $20 billion investment in shipping and technology  Walmart is investing $20 billion in shipping and technology over the next five years as it looks to increase its e-commerce presence. The company plans to use the money to improve its global supply chain and speed up deliveries to customers.  2) Amazon announces new delivery program for Prime members  Amazon is announcing a new delivery program for Prime members that will allow them to have items delivered to their homes within an hour. The program, which is available in select cities, starts at $9.99 per month.  3) GM to invest $1 billion in ride-hailing company Lyft  General Motors is investing $1 billion in ride-hailing company Lyft as the two companies look to disrupt the car industry. GM will invest in Lyft's core technology, marketing and leasing businesses.']",
1,China wants to take a victory lap over its handling of the coronavirus outbreak,"['Beijing wants to take a victory lap over its handling of the coronavirus outbreak, as the death toll from the disease has now fallen below 100, according to reports.  Since the outbreak began in November, the Chinese government has responded swiftly and efficiently, with hospitals rolling out guidelines and communication campaigns to help the public while limiting the spread of the virus.  And despite the recent death of a child, the country’s overall coronavirus death toll stands at just under 100, which is markedly lower than the global total of more than 10,000.  “The Chinese have done a really good job,” Dr. Tom Frieden, the director of the Centers for Disease Control and Prevention, told reporters on a call.  However, Frieden warned that there is still much work to be done, as the outbreak continues to spread to new countries.  “This is not over yet,” he said., but will have to reckon with a number of challenges ahead.  The Chinese government has been applauded for its response to the coronavirus, which has killed more than 1,000 people since early October.  But experts say the Chinese health care system is not well equipped to deal with a major outbreak, and the country’s sprawling and crowded cities are rife with places where people can easily spread the virus.  And even if China manages to contain the outbreak, experts say the country’s economic growth and burgeoning middle class will mean that the virus will continue to spread.  “China is one of the economies that has really come to the fore in recent years,” said James Hardy, an infectious diseases specialist at the London School of Hygiene and Tropical Medicine. “It’s become an economic powerhouse. It’s very much a country of opportunity, so the virus will continue to spread.”  China’s response  China’s response to the coronavirus has been widely praised, with state media lauding the country’s “fast and effective” response.  China has set up Centers for Disease Control and Prevention-style facilities in five provinces: Guangdong, Hubei, Hunan, Jiangxi, and Sichuan. Five other provinces have set up similar facilities, and the Ministry of Health is providing support to other provinces.  Experts say the Chinese response is impressive.  “China has done a really good job in setting up these centers,” Hardy said.  Chinese officials have also been quick to publicize the country’s successes.  In early December, the Ministry of Health released a report that said China had killed all of the coronavirus patients. The report gave no indication of how many patients had died after being treated at the Chinese facilities.  But experts say the report is likely to be misleading.  “The ministry is putting out a good headline, but the data behind it isn’t very reliable,” Hardy said.  Chinese officials have also claimed that the country’s hospitals have successfully treated all of the patients who have contracted the virus.  But experts say that’s not always the case']",
2,Coronavirus disinformation creates challenges for China's government,"[', health sector  As the global pandemic of coronavirus (CoV) gains momentum, China is facing mounting challenges from misinformation and disinformation. CoV is a member of the family of viruses that cause SARS, a global pandemic that killed more than a thousand people in 2003.  Since the CoV pandemic began in February 2019, the Chinese government has been struggling to control the spread of misinformation. In a report released on 9 April 2019, the Chinese Academy of Social Sciences (CASS) warned that the spread of disinformation and false news about CoV is hampering the government's efforts to respond to the pandemic.  According to the report, the Chinese media is playing an important role in fuelling the spread of disinformation. In particular, the online community has played a major role in spreading false information about CoV. In some cases, false information has been deliberately fabricated to mislead communities and instill fear.  At the same time, the Chinese health sector is facing challenges from misinformation and disinformation. In particular, the government has been struggling to control the spread of rumours about CoV among health workers.  As a result, the government has been forced to launch a number of public awareness campaigns to debunk misinformation. These campaigns have been successful in reducing the spread of false information, but they have also generated a lot of backlash among the public.  In addition, the Chinese health sector is struggling to deal with the influx of patients infected with CoV. In response to the increasing number of cases, the health ministry has been recruiting more doctors and nurses to deal with the pandemic. However, the government is also struggling to recruit enough medical personnel to deal with the high number of CoV cases.  The spread of misinformation and disinformation about CoV is hampering China's government, health sector and overall response to the pandemic. In order to counter these challenges, the Chinese government will need to make a concerted effort to control the spread of disinformation and implement public awareness campaigns that are designed to engage the public.']",
3,China coronavirus: Eating wild animals made illegal but ending the trade won't be easy,"['There have been sporadic cases of the coronavirus in China over the past year, but the virus has not yet caused any fatalities. The China Center for Disease Control and Prevention (CDC) has warned citizens about the risk of contracting the virus from wild animals, and between June and September 2017, officials located and destroyed more than 20,000 wild animal carcasses suspected of containing the virus.  However, it’s difficult to enforce bans on hunting and consuming wild animals, especially in rural areas where these activities are often enjoyed by the locals. In addition, the illegal trade in wild animals is likely to continue, regardless of any new regulations. As a result, ending the trade in wild animals will not be easy.  Aug 3, 2019 by BBC  The Chinese government has announced that it is making eating wild animals illegal, following a public outcry over the spread of a coronavirus. But ending the trade in these animals is not going to be easy.  Monday, Jun 20, 2019  Melbourne (AFP) - Eating wild animals is now illegal in China, but ending the trade in these animals is not going to be easy, experts say.  The country banned hunting and capturing wild animals including venison, boar, rabbit and pheasant earlier this year as part of efforts to prevent the coronavirus, which has killed dozens of people in the country.  But those caught hunting or illegally trading in these animals can face heavy fines, jail time or both.  ""Anyone caught hunting or trapping wild animals could be fined up to 200,000 yuan (28,000 US dollars) and face up to two years in jail,"" said Chen Weidong, an expert on wildlife management at the Beijing-based WildLife Research Institute.  ""It's going to be very difficult to end the trade in wild animals as there are a lot of people involved,"" he added.  ""Law enforcement is going to need to be stepped up and more resources put into enforcement. If it's done slowly and gradually, it's possible it could be done, but it's going to be very difficult.""  China has been struggling to contain the virus since it first emerged earlier this year, with dozens of people diagnosed with the virus and a number of fatalities.  The World Health Organization has said the coronavirus is probably spread through contact with respiratory secretions, such as saliva or mucus, from an infected person.  © 2019 AFP']",
4,China's economy could shrink for the first time in decades because of the coronavirus,"['The Chinese economy could shrink for the first time in decades because of the coronavirus, according to a report by the International Monetary Fund. The virus has killed more than 1,000 people in Saudi Arabia, Qatar, and Bahrain and is believed to be causing respiratory illnesses there. The IMF warns that the economies of those countries could be stunted, as well as other countries in the region. Chinese exports to the three countries could shrink by around 10% due to the virus, the IMF said., the country's top economic planner said Wednesday.  The economy could contract by up to 3 percent this year and by another 1 or 2 percent in 2016 if the coronavirus continues to spread, said Deputy Premier Zhu Guangyao.  ""The Chinese economy is not just based on the growth of exports and investment, but also domestic consumption,"" Zhu said in a speech in Beijing. ""If the consumption side suffers a setback, the growth of exports and investment will also decline.""  Zhu said the Chinese government was taking ""all possible measures"" to contain the virus, which has caused a global health emergency.  The deputy premier's comments are the first time a senior government official has publicly warned of the possible economic consequences of the coronavirus.  The World Health Organization has said the virus could cause up to $5 billion in economic losses this year, and more if the virus spreads to other countries.  Zhu's comments suggest that Beijing is already taking the economic risks of a pandemic into account as it plans its response.  China has been a top donor of medical aid to the WHO and has dispatched teams of health experts to help contain the virus.  The Chinese government has also said it will provide financial aid to people affected by the virus.  Zhu's comments come as the WHO issues an update on the global response to the pandemic.  The WHO says the number of confirmed cases of the coronavirus has reached 10,000, with more than 4,000 people dead.  The WHO is urging countries to ramp up their response to the pandemic and has called for more funding to help fight it.']",
5,China and Japan's budding relationship in the time of coronavirus,"['pandemic  9 August 2016  China and Japan's burgeoning relationship in the time of coronavirus pandemic    In the wake of the coronavirus pandemic, China has been one of Japan's most important bilateral partners. Close economic ties, enhanced cooperation on public health, and a shared concern for global security have helped create a strong relationship.  There has been cooperation on a number of fronts. For example, Chinese and Japanese medical teams were the first to respond to the pandemic. And both countries have sent humanitarian aid to Saudi Arabia and the United States. In addition, there has been a notable increase in trade, with China now Japan's largest trading partner.  There has also been cooperation on regional issues. For example, Beijing has vigorously supported Tokyo's bid for a permanent seat on the U.N. Security Council. And both countries have worked together to resolve territorial disputes in the East China Sea.  In the light of the pandemic, the two countries have also strengthened cooperation on counter-terrorism. China has been a key partner in the coalition against the Islamic State, and has provided support for the deployment of Japanese troops in Iraq and Syria.  In the future, the two countries will continue to work together to promote regional peace and security, and to address global challenges such as climate change.  China and Japan have been close economic partners for many years and share a complex history. Their relationship has been marked by periods of tension and cooperation, but has generally been stable. The current outbreak of the coronavirus has tested China's responsiveness to international crises and shown the importance of China's role in the global response to the virus. At the same time, there are concerns that China's rapidly growing economy may divert resources from efforts to prevent the virus from spreading more widely, and that China's military ambitions could complicate relations with other countries in the region.']",
6,Coronavirus is fast becoming an 'economic pandemic',"['A report published in the journal The Lancet last month has warned that coronavirus is fast becoming an 'economic pandemic' as the costs of treating patients increase and economies feel the pinch.  The report, entitled 'A global economic analysis of coronavirus disease': prepared by the Lancet Commission on Economic Risk Assessment, found that the cost of managing patients with coronavirus increases rapidly with severity of the condition, with a per patient cost of $34,000 for patients in the most severe category.  'This is an alarming development as the impact of this virus on economies is already being felt,' said Professor Keiji Fukuda, chair of the commission and head of the division of global health at Jichi Medical University in Japan.  'Worldwide, the economic cost of coronavirus is estimated to be US$22.5 billion and is expected to grow to US$44.9 billion by 2021,' the report added.  While coronavirus disease is most commonly associated with severe respiratory illness in humans, there is now clear evidence that the virus can also cause significant economic losses – through work absenteeism, loss of productivity, and other costs – in both developed and developing countries.  'The impact of coronavirus on economies is already being felt,' said Professor Keiji Fukuda, chair of the commission and head of the division of global health at Jichi Medical University in Japan.  The coronavirus is fast becoming an “economic pandemic”, with mounting costs and disruption to economies around the world, the World Health Organization (WHO) has warned.  The virus is responsible for severe respiratory illness, including pneumonia, and has killed more than 3,500 people since September 2013.  Last month, the WHO said the pandemic was expected to cost global economies up to $240 billion by 2020.  And this week, the organization said the virus was now also “spreading rapidly through human populations”, with new cases reported in 23 countries.  “This is an economic pandemic,” said Dr Tedros Adhanom Ghebreyesus, WHO Director-General.  “We are seeing costs increase – in terms of health care, loss of productivity, and disruptions to economies – as well as large impacts on social and human security.”  The WHO said it was continuing to provide support to countries hit hardest by the pandemic, including by funding research into new vaccines and treatments.  It added that the global response to the virus had been “far too slow”, and called for a “systematic” approach to combatting the virus.']",
7,"A history of Wuhan, one-time Chinese capital and coronavirus epicenter","['Wuhan was a Chinese capital for over a thousand years. It became the focal point of a spread of the SARS coronavirus in 2003, and remained an epicenter for the epidemic until it was largely contained in spring 2004. The city was also the site of some of the earliest research into the virus.  Wuhan, formerly known as Wuchang, is the capital of Hubei Province and the most populous city in Central China. Established in 316 BC, it has been one of the most important political and cultural centres in China, and was the country's first capital.  On 27 May 2019, Wuhan was declared as the epicenter of the SARS-CoV-2 coronavirus epidemic. As of 11 July 2019, a total of 148 cases with 38 fatalities had been reported from the city. The global health community has intensified its response to the virus in Wuhan, deploying additional teams of experts and resources to support the city's response.  Wuhan, once the capital of China, is now a major epicenter of the global coronavirus pandemic. Wuhan has a long and complex history, which is highlighted by its pivotal role in the development of Chinese civilization.  The city of Wuhan was first founded in the 7th century BCE by the Zhou dynasty. It became the capital of China during the Tang dynasty (618-907 CE). Wuhan was the center of Chinese culture and learning, and played a significant role in the development of Chinese civilization.  During the Communist Revolution in 1949, Wuhan was the site of major fighting between the Communist forces and the Nationalist forces. Wuhan was later renamed Hubei and became the capital of the newly created Hubei Province.  The Wuhan Incident, also known as the Wuhan Purge, occurred in 1957 when the Communist Party of China (CPC) carried out a counter-coup against the Nationalist Party of China (NPC). Thousands of people were killed or imprisoned as a result of the Wuhan Incident.  In recent years, Wuhan has experienced a significant growth in its economy. The city is now a major transportation hub, and has become a major tourist destination. Wuhan is also a key center for the development of the Chinese internet and technology industries.  The Wuhan coronavirus outbreak began in December 2013. As of September 2017, there have been over 1,000 cases of the virus reported in Wuhan and surrounding areas. The majority of the cases have been in patients who are elderly or have medical conditions that make them vulnerable to illness. The Wuhan outbreak has been complicated by the fact that many of the patients have not been able to communicate their symptoms to health officials.  The Wuhan outbreak has had a major impact on the city and its population. Many businesses have closed down, and the city has seen a significant decline in tourism. The outbreak has also had a major impact on the health of the residents of Wuhan. Many older residents have become very sick, and a number of them have died as a result of the virus.']",
8,Global stocks pull back from the edge after historic sell-off,"['The Dow Jones industrial average DJIA, +0.26% pulled back from its 52-week high of 27,362.24, but was still up more than 350 points, or 2.5%, at 26,606.15. The S&P 500 index SPX, +0.09% lost 2.5% to 2,792.12 and the Nasdaq Composite Index COMP, +0.25% was down 2.4% at 7,673.  The move came after stocks tumbled more than 3% on Wednesday, their worst day since the global financial crisis, amid worries about a global trade war.  The carnage on Wall Street continued on Thursday, with the Dow falling as much as 421 points, or 2.7%, and the S&P 500 shedding 2.8% at 2,706.06. For the week, the S&P 500 shed 6.7%, its worst weekly performance since February.  “Investors are spooked by the global trade war and the potential for a sharper-than-expected U.S. recession,” said Rana Foroohar, senior economist at Millward Brown.  Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.  U.S. stocks were down sharply on Wednesday morning after a record-breaking sell-off overnight.  The Dow Jones industrial average dropped more than 1,500 points, or nearly 5%, before ending the day down more than 2,000 points. The S&P 500 and the NASDAQ composite lost nearly 3% and 5%, respectively.  The sell-off is the largest one-day percentage drop in the stock market since the Great Recession.  The market volatility is likely a result of a mix of factors, including rising interest rates, slowing global growth, trade tensions between the U.S. and China, and concerns over a bubble in the stock market.  Investors are also grappling with rising corporate debt levels, which could lead to a pullback in spending and a slowdown in economic growth.']",
9,Chinese diplomat promotes conspiracy theory that US military brought virus to Wuhan,"['On Nov. 12, a Chinese diplomat posted a conspiracy theory on his Weibo account that the US military had brought the H7N9 virus to Wuhan. The post quickly garnered attention and was shared over 1,000 times.  According to the post, the US military had purposefully brought the virus to Wuhan in order to create a global pandemic. The diplomat claimed that the US government was complicit in the virus’s spread and was using it as a pretext to wage war on China.  The post has been widely denounced as inaccurate and malicious. It has also sparked public outrage and calls for the diplomat to be held accountable.  On July 28, a Chinese diplomat posted a video on Weibo accusing the United States of intentionally spreading a virus in Wuhan. The video, which has been deleted, alleges that the virus was deliberately released in order to weaken China.  The diplomat, who identified himself only as ""Zou Bin,"" said that he had spoken to medical personnel who had found ""telltale signs"" of the US Military's intentional release of the virus. He went on to claim that the US was using the virus as an excuse to invade China.  China has been on high alert for any possible pandemic following a rash of major outbreaks in other parts of the world. The country has repeatedly warned its citizens about the dangers of the virus and urged them to maintain strict hygiene measures.  There is no evidence to support the claims made in the video. Wuhan was hit by a major outbreak of the H7N9 virus in February, but no evidence has emerged to suggest that the disease was caused by American forces.']",
